business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"République","624 S La Brea Ave, Los Angeles, CA 90036, USA","(310) 362-6115","http://www.republiquela.com/","https://maps.google.com/?cid=11146942846194704924&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","7074","5","5","0","4","AC9","4","My friend says this is one of her fave foodie spots. So let’s see if they’re pretty good eh or ew. They were on the Mich","","","",""
"Holbox","3655 S Grand Ave c9, Los Angeles, CA 90007, USA","(213) 986-9972","http://www.holboxla.com/","https://maps.google.com/?cid=3469853530423318204&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.8","2654","5","5","0","5","Matthew Bourhis","5","Iconic LA restaurant for fresh sea food. Ceviche and aguachiles are special dishes. Also great tostadas and tacos. They ","","","",""
"Redbird","114 E 2nd St, Los Angeles, CA 90012, USA","(213) 788-1191","http://www.redbird.la/","https://maps.google.com/?cid=10616096124520627723&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1810","5","5","0","4","Helen Kim","4","I never really make it to DTLA anymore but if one does, Redbird is pretty great for an intimate dinner, drinks at the ba","","","",""
"Water Grill","544 S Grand Ave, Los Angeles, CA 90071, USA","(213) 891-0900","https://www.watergrill.com/la","https://maps.google.com/?cid=3087664812393171324&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","2213","5","5","0","4","Kim Nara","4","If you’re looking for excellent dining in LA, this is a great option. However, the service is extremely slow—our lemonad","","","",""
"San Laurel","100 S Grand Ave, Los Angeles, CA 90012, USA","(213) 349-8585","https://www.sanlaurel.com/","https://maps.google.com/?cid=7828775555345993792&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","305","5","5","0","5","Alison Su","5","The view is absolutely amazing and the food did not disappoint. The octopus was perfectly cooked and very tender, the ba","","","",""
"Cali Chilli Downtown LA","200 S Los Angeles St Suit B, Los Angeles, CA 90012, USA","(213) 266-8999","https://www.cali-chilli.com/","https://maps.google.com/?cid=11016714371540867587&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","219","5","5","0","4","PS","4","We were in that area for the game at Crypto Arena and thought to try this one . Nice ambiance with yummy food .though , ","","","",""
"The Butcher's Daughter","1205 Abbot Kinney Blvd, Venice, CA 90291, USA","(310) 981-3004","https://www.thebutchersdaughter.com/?utm_source=google&utm_medium=organic&utm_campaign=business-profile&utm_term=venice","https://maps.google.com/?cid=2173408008187024863&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2896","5","5","0","5","Heather Boswick","5","Such a beautifulllllllll place! From the outside to the inside, such a stunning place with plants, accented wood & just ","","","",""
"Nick + Stef's Steakhouse","330 S Hope St, Los Angeles, CA 90071, USA","(213) 680-0330","https://www.nickandstefs.com/","https://maps.google.com/?cid=12764470815249894035&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1133","5","5","0","5","funning","5","I went here from a recommendation from a coworker because she raved about the scallop crudo, so we checked it out.  Firs","","","",""
"Eggslut","317 S Broadway, Los Angeles, CA 90013, USA","(213) 625-0292","https://grandcentralmarket.com/vendors/eggslut/","https://maps.google.com/?cid=9542565228212065267&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","4662","5","5","0","4","JUSTIN CHEN 俊佳","4","It's on our must try list I'm grand central market!  It didn't disappoint much! We had brunch here and it was great. Alt","","","",""
"West Restaurant & Lounge","170 N Church Ln, Los Angeles, CA 90049, USA","(310) 481-7878","http://www.westrestaurantla.com/","https://maps.google.com/?cid=10933946822026617957&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","371","5","5","0","4","M Chiquete","4","I stayed at this hotel—and ate at this restaurant—a few years ago, so when I received an email about their Thanksgiving ","","","",""
