business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes,email_step1_sent
"Hilton Atlanta","255 Courtland St NE, Atlanta, GA 30303, USA","(404) 659-2000","https://www.hilton.com/en/hotels/atlahhh-hilton-atlanta/?SEO_id=GMB-AMER-HH-ATLAHHH&y_source=1_MTIyMDg1MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://maps.google.com/?cid=10777715959552130711&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","10545","5","5","1","1","Marcia McCoy","1","I went to this hotel for a Career Event hosted by APPA. I had to drive our company vehicle which is Ford Transit Cargo V","info@hilton.com","","","","2026-04-29"
"Hampton Inn & Suites Atlanta Buckhead Place","3312 Piedmont Rd NE, Atlanta, GA 30305, USA","(404) 816-7309","https://www.hilton.com/en/hotels/atlbphx-hampton-suites-atlanta-buckhead-place/?SEO_id=GMB-AMER-HX-ATLBPHX&y_source=1_OTU3MTcyOS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D","https://maps.google.com/?cid=5087015924066238856&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","1090","5","5","1","2","Alexis Miles","2","This facility needs work. Parking is $28 per night and in a nasty crummy looking parking garage. The carpet was dingy. T","info@hilton.com","","","","2026-04-29"
"Omni Hotel at the Battery Atlanta","2625 Cir 75 Pkwy SE, Atlanta, GA 30339, USA","(678) 567-7327","https://www.omnihotels.com/hotels/atlanta-battery?utm_source=gmblisting&utm_medium=organic","https://maps.google.com/?cid=4973605447553799533&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","1973","5","5","1","2","Tracy Taylor","2","Good morning,  I would like to thank you for the opportunity to stay at your property. The view from our room was beauti","info@omnihotels.com","","","",""
"Holiday Inn Express & Suites Atlanta Downtown by IHG","111 Cone St NW, Atlanta, GA 30303, USA","(404) 524-7000","https://www.ihg.com/holidayinnexpress/hotels/us/en/atlanta/atlws/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-ATLWS","https://maps.google.com/?cid=422397615387310082&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.9","2270","5","5","1","1","Chase Bernard","1","5-star review turned into a 1-star at check-out!  I went to check out at 7pm the night before my checkout day and I was","info@ihg.com","","","","2026-04-29"
"Courtyard by Marriott Atlanta Downtown","133 Carnegie Way NW, Atlanta, GA 30303, USA","(404) 222-2416","https://www.marriott.com/en-us/hotels/atldo-courtyard-atlanta-downtown/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=2497078238002013387&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1125","5","5","1","1","Anja Holthoff","1","I completely understand that hotels don't have public restrooms but most hotels know when to make an exception. I'm a li","info@marriott.com","","","",""
"Comfort Inn & Suites Atlanta/Smyrna","2800 Highlands Pkwy SE, Smyrna, GA 30082, USA","(678) 309-1200","https://www.choicehotels.com/georgia/smyrna/comfort-inn-hotels/ga370?mc=llgoxxpx","https://maps.google.com/?cid=7526099312981299268&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1367","5","5","1","3","Seiya Aioria","3","It’s fine. Old rooms, clean but they could use updating. The bed was comfortable. Loud fan. We never got room service an","info@choicehotels.com","","","","2026-04-29"
"Residence Inn by Marriott Atlanta Downtown","134 Peachtree St NW, Atlanta, GA 30303, USA","(404) 522-0950","https://www.marriott.com/en-us/hotels/atldt-residence-inn-atlanta-downtown/overview/?scid=f2ae0541-1279-4f24-b197-a979c79310b0","https://maps.google.com/?cid=7730918487937303920&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4","1092","5","5","1","3","Daijah","3","Convenient and walkable location. William at the front desk provided great customer service. Shelly from housekeeping wa","info@marriott.com","","","",""
"Extended Stay America Suites- Atlanta - Marietta - Powers Ferry Rd.","2239 Powers Ferry Rd, Marietta, GA 30067, USA","(770) 303-0043","https://www.extendedstayamerica.com/hotels/ga/atlanta/marietta-powers-ferry-rd?channel=gmb-listing&utm_source=google&utm_medium=organic&utm_campaign=gmb_listing","https://maps.google.com/?cid=18123509255368648367&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.6","818","5","5","1","1","Kyle Hardy","1","When I arrived around 11pm I was told the room I reserved that morning was not available, so I was getting an upgrade fo","info@extendedstayamerica.com","","","","2026-04-29"
"Holiday Inn Express & Suites Atlanta Buckhead by IHG","800 Sidney Marcus Blvd NE, Atlanta, GA 30324, USA","(404) 949-4000","https://www.ihg.com/holidayinnexpress/hotels/us/en/atlanta/atlbe/hoteldetail?cm_mmc=GoogleMaps-_-EX-_-US-_-ATLBE","https://maps.google.com/?cid=13767440687115301890&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","1170","5","5","1","2","Michelle D","2","I have stayed at this hotel several times.   I am in Atlanta weekly for work and stay at various hotels in the metro are","info@ihg.com","","","","2026-04-29"
"La Quinta Inn & Suites by Wyndham Atlanta Airport North","1200 Virginia Ave, Atlanta, GA 30344, USA","(404) 209-1800","https://www.wyndhamhotels.com/laquinta/atlanta-georgia/la-quinta-atlanta-airport-north/overview?CID=LC:6ysy27krtpcrqev:53078&iata=00093796","https://maps.google.com/?cid=683059656218349825&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","3.9","3421","5","5","1","2","Kayla Branchaud","2","Booked this room because their site states there is an international shuttle to the airport. Upon arrival we were inform","info@wyndhamhotels.com","","","","2026-04-29"
