business_name,address,phone,website,google_maps_url,rating,total_reviews,reviews_sampled,unanswered_count,unanswered_low_rating,worst_unanswered_stars,sample_reviewer,sample_review_stars,sample_review_snippet,email,email_sent,replied,notes
"Butcher & Barrel","723 K St, Sacramento, CA 95814, USA","(916) 476-3408","http://www.butcherandbarrelsac.com/","https://maps.google.com/?cid=15454597513499362542&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.1","440","5","5","0","4","C Lu","4","Always a pleasant experience here. The food is always good, the service is always tops, and the location is perfect for","info@butcherandbarrelsac.com","","",""
"Paragary's","1401 28th St, Sacramento, CA 95816, USA","(916) 457-5737","http://www.paragarysmidtown.com/","https://maps.google.com/?cid=14688789438092656079&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","959","5","5","0","4","Kaeli Tully","4","I had a really lovely experience at this restaurant! The ambiance and overall brand of the place are so charming, and th","user@domain.com","","",""
"Mulvaney's B&L","1215 19th St, Sacramento, CA 95811, USA","(916) 441-6022","http://www.mulvaneysbl.com/","https://maps.google.com/?cid=7899576876787695894&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","853","5","5","0","5","Kayla Ewert","5","this was my first time here and wow, i'm already looking forward to my next meal! everything from the easy reservation p","info@mulvaneysbl.com","","",""
"Zócalo Midtown","1801 Capitol Ave, Sacramento, CA 95811, USA","(916) 441-0303","https://www.zocalosac.com/","https://maps.google.com/?cid=10634976273381356455&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","3307","5","5","0","4","Russell Hosley","4","The food is good, but not a lot of options. A half page of tacos, another half page of enchiladas and some ceviches and","info@zocalosac.com","","",""
"Wildwood Kitchen & Bar","556 Pavilions Ln, Sacramento, CA 95825, USA","(916) 922-2858","http://wildwoodpavilions.com/","https://maps.google.com/?cid=6390007181830275927&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","956","5","5","0","4","Bhavik Patel","4","Very nice and upscale restaurant. We tried a variety of things that included the Hummus, Mushroom Bruschetta, Beet Salad","info@wildwoodpavilions.com","","",""
"Bawk! by Urban Roots","1409 R St #102, Sacramento, CA 95811, USA","(916) 376-7531","https://www.bawkfriedchicken.com/","https://maps.google.com/?cid=10699997683330878032&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","535","5","5","0","4","xee xiong","4","Friendly staff.  Walk up to counter to order and they bring out your food.  Self serve water station.  Food was good, re","hello@bawkfriedchicken.com","","",""
"Scott's Seafood on the River","4800 Riverside Blvd, Sacramento, CA 95822, USA","(916) 379-5959","https://www.scottsseafoodontheriver.com/","https://maps.google.com/?cid=1001237714312084911&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","2777","5","5","0","4","Camay Olison","4","Gathering at Scott's for an early 2025 Christmas dinner brought joy and warmth to our lives. Their exceptional service c","info@scottsseafoodontheriver.com","","",""
"Il Fornaio Sacramento","400 Capitol Mall, Sacramento, CA 95814, USA","(916) 446-4100","https://www.ilfornaio.com/location/il-fornaio-sacramento/","https://maps.google.com/?cid=16108666349360360117&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","1635","5","5","0","5","Eric Garcia","5","Came here for Valentine’s Day and it was the best food we’ve had here for sure. We ordered the rigatoni alla vodka pasta","sacramento@ilfo.com","","",""
"La Trattoria Bohemia","3649 J St, Sacramento, CA 95816, USA","(916) 455-7803","http://www.latrattoriabohemia.com/","https://maps.google.com/?cid=5210646223740466303&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.6","813","5","5","0","4","Mike Jackson","4","Nice selection of Czech beers. Sadly they were out of my favorite Krušovice lager.  Schnitzel and goulash were both rich","info@latrattoriabohemia.com","","",""
"Zinfandel Grille","2384 Fair Oaks Blvd, Sacramento, CA 95825, USA","(916) 485-7100","https://zinfandelgrille.com/?y_source=1_OTExMjU5NDUtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D","https://maps.google.com/?cid=15945977370595059790&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1434","5","5","0","4","Shara Johnson","4","This neighborhood spot did not disappoint. The dining room is dimly lit and the sounds of table chatter ring throughout.","manager@zinfandelgrille.com","","",""
"Darling Aviary","712 K St, Sacramento, CA 95814, USA","(916) 758-5715","http://darlingaviary.com/","https://maps.google.com/?cid=4562780558572962507&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.2","459","5","5","0","4","Lisa Watson","4","My daughter & I had a quite enjoyable lunch date here.  The atmosphere is very cool with really fun decor.  We ate on th","info@darlingaviary.com","","",""
"Morton's The Steakhouse","621 Capitol Mall, Sacramento, CA 95814, USA","(916) 442-5091","https://www.mortons.com/location/mortons-the-steakhouse-sacramento-ca/","https://maps.google.com/?cid=15563778445890099694&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","1465","5","5","0","5","Eric Woodbey","5","Morton’s The Steakhouse delivers exactly what you expect from an upscale American steakhouse—high-quality food, excellen","info@mortons.com","","",""
"TROPEIRO'S GRILL BRAZILIAN STEAKHOUSE SACRAMENTO (Formerly Pampas )","1111 J St, Sacramento, CA 95814, USA","(916) 898-3184","https://tropeirosgrill.com/","https://maps.google.com/?cid=14764326963961523800&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.7","866","5","5","0","5","Alessandra Vasquez","5","Eric was amazing! His recommendations were perfect. My husband and I really enjoyed everything. The grilled pineapple an","info@tropeirosgrill.com","","",""
"House Kitchen & Bar","555 Capitol Mall, Sacramento, CA 95814, USA","(916) 498-9924","http://www.housekitchenandbar.com/","https://maps.google.com/?cid=6068396074335093940&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","389","5","5","0","4","Vinh W (Sally)","4","8/2024 tried fillet mignon this time, which came with brussel sprouts and mashed potatoes that were really good. But the","info@housekitchenandbar.com","","",""
"Brasserie du Monde","1201 K St #100, Sacramento, CA 95814, USA","(916) 329-8033","http://brasseriedumonde.com/","https://maps.google.com/?cid=4844738643516268&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.4","609","5","5","0","4","Douglas Judson","4","Went for dine downtown. Very nice restaurant. Service was a bit off. Our waiter had to be reminded to serve us. He was m","info@brasseriedumonde.com","","",""
"Cafe Bernardo - R15","1431 R St, Sacramento, CA 95814, USA","(916) 930-9191","https://cafebernardo.com/","https://maps.google.com/?cid=7765598184771682769&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","1296","5","5","0","4","L Vang","4","Food is great! We had the - grilled salmon salad (9/10) portion was a bit small but it was really good!! - achiote marin","user@domain.com","","",""
"Star Lounge","2719 K St, Sacramento, CA 95816, USA","(916) 406-4979","http://historicstarlounge.com/","https://maps.google.com/?cid=5346424446131989933&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.3","133","5","5","0","4","Steven Trinh","4","The ambiance of this place is fantastic. Perfect place to bring a date. We got there before sun came down and there was","user@domain.com","","",""
"Maydoon Restaurant","1501 16th St Suite #111, Sacramento, CA 95814, USA","(916) 382-4309","http://maydoonrestaurant.com/","https://maps.google.com/?cid=12181121321170823146&g_mp=CiVnb29nbGUubWFwcy5wbGFjZXMudjEuUGxhY2VzLkdldFBsYWNlEAIYBCAA","4.5","754","5","5","0","5","Paul Rosenthal","5","The place was so busy that I had to sit at the bar.  The meal was so worth it.  Really enjoyed the Falafel for appetizer","info@maydoonrestaurant.com","","",""
