business_name,address,phone,website,rating,total_reviews,email,city,source
"Elwood's Shack","4523 Summer Ave, Memphis, TN 38122","+19017619898","http://www.elwoodsshack.com/","4.5","1168","lee@gingergraphicdesigns.com","Memphis, TN","yelp"
"Imagine Vegan Cafe","2158 Young Ave, Memphis, TN 38104","+19016543455","http://www.imaginevegancafe.com/","4","446","kristie@imaginevegancafe.com","Memphis, TN","yelp"
"Cattlemen's Steakhouse","1309 S Agnew Ave, Oklahoma City, OK 73108","+14052360416","http://www.cattlemensrestaurant.com/","4","1924","david@cattlemensrestaurant.com","Oklahoma City, OK","yelp"
"Noli's Pizzeria - Blackstone","4001 Farnam St, Omaha, NE 68131","+14023591802","http://www.nolispizzeria.com/","4.1","482","jmarsh@nolispizza.com","Omaha, NE","yelp"
"Can Can Brasserie","3120 W Cary St, Richmond, VA 23221","+18043587274","https://cancanbrasserie.com/","3.7","1073","cancan@cancanbrasserie.com","Richmond, VA","yelp"
"Croaker's Spot","1020 Hull St, Richmond, VA 23224","+18042690464","https://www.croakersspot.com/","3.9","951","rentals@croakersspot.com","Richmond, VA","yelp"
"Deep Run Roadhouse","12379 Gayton Rd, Richmond, VA 23238","+18047406301","https://deeprunroadhouse.com/","4.4","552","catering@deeprunroadhouse.com","Richmond, VA","yelp"
"Sixty Six Acres","2400 12th St NW, Bldg B North, Albuquerque, NM 87104","+15052432230","https://www.sixtysixacres.com/","4.4","542","dine@sixtysixacres.com","Albuquerque, NM","yelp"
"Rocca Pizzeria","3897 Government St, Baton Rouge, LA 70806","+12254781286","https://www.roccapizzeria.com/","4.3","393","social@roccapizzeria.com","Baton Rouge, LA","yelp"
"Roam by San Chez","250 Monroe Ave NW, Ste 075, Grand Rapids, MI 49503","+16162889129","https://roambysanchez.com/","4.3","330","roam-white-logo@0.5x-e1521650659914.png","Grand Rapids, MI","yelp"
"Mildred's Temple Kitchen","85 Hanna Avenue, Suite 104, Toronto, ON M6K 3S3, Canada","+14165885695","https://mildreds.ca/","4","1160","mildred@mildreds.ca","Toronto, ON, Canada","yelp"
"Anh and Chi","3388 Main Street, Vancouver, BC V5V 3M7, Canada","+16048788883","http://anhandchi.com/","4","781","eat@anhandchi.com","Vancouver, BC, Canada","yelp"
"Cardero's Restaurant & Marine Pub","1583 Coal Harbour Quay, Vancouver, BC V6G 3E7, Canada","+16046697666","https://www.vancouverdine.com/","3.9","762","info@vancouverdine.com","Vancouver, BC, Canada","yelp"
"Hayden Block Smoke & Whiskey","1136 Kensington Road NW, Calgary, AB T2N 3P3, Canada","+14032833021","http://haydenblockyyc.com/","4.3","269","info@haydenblockyyc.com","Calgary, AB, Canada","yelp"
"Galaxie Diner","1413 11 Street SW, Calgary, AB T2R 1G7, Canada","+14032280001","http://www.galaxiediner.ca/","4.4","159","marketing.galaxiediner@gmail.com","Calgary, AB, Canada","yelp"
"SugarBowl","10922 88 Avenue NW, Edmonton, AB T6G 0Z1, Canada","+17804338369","https://www.thesugarbowl.org/","4","545","info@thesugarbowl.org","Edmonton, AB, Canada","yelp"
"Meat","8216 104 Street, Edmonton, AB T6E 4E6, Canada","+15875206338","https://www.meatfordinner.com/","4.1","510","info@meatfordinner.com","Edmonton, AB, Canada","yelp"
"Central Social Hall","10909 Jasper Avenue, Unit 100, Edmonton, AB T5J 3L9, Canada","+17807051900","https://centralsocialhall.com/","3.5","161","ellerslie@centralsocialhall.com","Edmonton, AB, Canada","yelp"
"The Manx","370 Elgin Street, Ottawa, ON K2P 1N1, Canada","+16132312070","http://manxpub.com/","4","138","info@manxpub.com","Ottawa, ON, Canada","yelp"
"Burger Bar Crescent","1465 Rue Crescent, Montreal, QC H3G 2B2, Canada","+15149035575","http://www.montrealburger.com/","4.2","597","catering@montrealburger.com","Montreal, QC, Canada","yelp"
"Gibbys","298 Place d'Youville, Montreal, QC H2Y 2B6, Canada","+15142821837","https://www.gibbys.com/","4.3","595","info@gibbys.com","Montreal, QC, Canada","yelp"
"Romados","115 Rue Rachel E, Montreal, QC H2W 1C8, Canada","+15144195515","https://www.romados.co/","4.2","571","info@romados.co","Montreal, QC, Canada","yelp"
"The Gate House","274 Goodman St N, Ste B116, Rochester, NY 14607","+15854732090","http://thegatehousecafe.com/","3.9","750","ryangatehousemedia@gmail.com","Rochester, NY","yelp"
"New York Beer Project","300 High St, Victor, NY 14564","+15858886927","http://www.nybeerproject.com/","3.8","688","orlandomanagers@nybeerproject.com","Rochester, NY","yelp"
"Heavenly Buffaloes","1807 W Markham Ave, Durham, NC 27705","+19192372358","http://www.heavenlybuffaloes.com/","4","610","shop@heavenlybuffaloes.com","Durham, NC","yelp"
"Town Hall Burger & Beer - Durham","7830 Hwy Nc 751, Ste 120, Durham, NC 27713","+19199730506","http://www.townhallburgerandbeer.com/","4","590","info@townhallburgerandbeer.com","Durham, NC","yelp"
"Parker & Otis","324 Blackwell St, Bay 4, Durham, NC 27701","+19196833200","https://www.parkerandotis.com/","4.3","574","ninfo@parkerandotis.com","Durham, NC","yelp"
"Carmen's Cuban Cafe & Lounge","108 Factory Shops Rd, Morrisville, NC 27560","+19194678080","http://carmenscubancafe.com/","4.1","558","carmenscubancafe@gmail.com","Durham, NC","yelp"
"Table 128","220 SW 9th St, Ste 120, Des Moines, IA 50309","+15156742080","https://www.table128bistro.com/","4.3","291","info@table128bistro.com","Des Moines, IA","yelp"
"Smoke on Cherry Street","1542 E 15th St, Tulsa, OK 74120","+19189494440","https://smokewoodfiregrill.com/","4.2","697","erikreynolds@smokewoodfiregrill.com","Tulsa, OK","yelp"
"Cento","122 W Mifflin St, Madison, WI 53703","+16082849378","http://www.centomadison.com/","4","582","cento@foodfightinc.com","Madison, WI","yelp"
"La Taguara","3502 E Washington Ave, Madison, WI 53704","+16087219100","http://www.lataguara-madison.com/","4.6","507","lt@lataguara-madison.com","Madison, WI","yelp"
"Scrambled Jake's","7428 S Northshore Dr, Knoxville, TN 37919","+18655406199","http://scrambledjakes.com/","4","627","marketing@scrambled2021.wpengine.com","Knoxville, TN","yelp"
"Kabob and Curry","261 Thayer St, Providence, RI 02906","+14012738844","https://kabobandcurry.com/","4.1","608","info@kabobandcurry.com","Providence, RI","yelp"
"Providence Bagel","695 N Main St, Providence, RI 02904","+14014212222","http://www.providencebagel.com/","3.3","556","deana@providencebagel.com","Providence, RI","yelp"
"Aretha Frankensteins","518 Tremont St, Chattanooga, TN 37405","+14232657685","http://www.arethas.com/","3.5","759","hello@arethas.com","Chattanooga, TN","yelp"
"Bad Daddy's Burger Bar","1924 Gunbarrel Rd, Ste 104, Chattanooga, TN 37421","+14234755948","https://www.baddaddysburgerbar.com/","3.9","327","contact@baddaddysburgerbar.com","Chattanooga, TN","yelp"
"Mulberry Coffeehouse","193 James Street N, Hamilton, ON L8R 2L2, Canada","+19059631365","http://www.mulberrycoffeehouse.com/","4.2","86","mulberrycoffeehouse@gmail.com","Hamilton, ON, Canada","yelp"
"Chez Boulay - Bistro Boréal","1110 Rue Saint-Jean, Quebec City, QC G1R 1S4, Canada","+14183808166","https://chezboulay.com/","4.4","460","vincent@chezboulay.com","Quebec City, QC, Canada","yelp"
"La Boîte à Pain","289 Rue Saint-Joseph Est, Quebec City, QC G1K 3B1, Canada","+14186473666","http://www.boiteapain.com/","4.3","110","dsc_4881@2x-scaled.jpeg","Quebec City, QC, Canada","yelp"
"il Canale","1065 31st St, Washington, DC 20007","+12023374444","https://ilcanale.com/","4.3","5223","info@ilcanale.com","Washington, DC","ddg"
"Pappy's Smokehouse","3106 Olive St, Saint Louis, MO 63103","+13145354340","https://www.pappyssmokehouse.com/","4.5","4850","catering@pappyssmokehouse.com","St. Louis, MO","ddg"
"Filomena Ristorante","1063 Wisconsin Ave NW, Washington, DC 20007","+12023388800","https://www.filomena.com/","4.2","3823","info@filomena.com","Washington, DC","ddg"
